id,text
uwb-atcc_TWR-0AMqtR_000000_000713_PIAT,easy eight two eight uniform line up runway one three and wait to runway inspection that s copied line up and wait easy eight two eight uniform
uwb-atcc_TWR-0b24HJ_000063_000157_PI,tower
uwb-atcc_TWR-0b24HJ_000270_000343_PI,nine fi
uwb-atcc_TWR-0b24HJ_000560_000942_AT,csa nine five six ruzyne tower line up runway one three and wait
uwb-atcc_TWR-0b24HJ_000969_001112_PI,line up one three and wait cs
uwb-atcc_TWR-0C2QD3_000093_000707_PIAT,ruzyne tower csa nine six six ready for departure one three csa nine six six line up runway one three
uwb-atcc_TWR-0C2QD3_000832_001065_PI,lining up runway one three csa nine si
uwb-atcc_TWR-0EThn8_000154_000430_PI,oscar kilo bravo yankee romeo
uwb-atcc_TWR-0EThn8_000496_001086_AT,oscar kilo bravo yankee romeo
uwb-atcc_TWR-0EThn8_001301_001680_AT,boeing
uwb-atcc_TWR-0EThn8_002291_002369_PI,oscar yankee romeo
uwb-atcc_TWR-0EThn8_003268_003779_AT,shamrock six four four runway three one clear to land wind zero six zero degrees and five knots
uwb-atcc_TWR-0EThn8_003804_003963_PI,clear to land shamrock six four four
uwb-atcc_TWR-0J9tPU_000083_000691_PIAT,csa seven bravo juliett contact ground one two one nine two one nine csa seven bravo juliett
uwb-atcc_TWR-0J9tPU_001213_001660_PI,ruzyne tower csa six nine one established ils three one
uwb-atcc_TWR-0J9tPU_001822_002298_AT,break jobair zero seven two runway three one cleared to land wind one nine zero degrees three knots
uwb-atcc_TWR-0J9tPU_002338_002477_PI,cleared to land at three one job
uwb-atcc_TWR-0J9tPU_002612_002927_AT,csa six nine one tower continue approach runway three one
uwb-atcc_TWR-0J9tPU_002996_003175_PI,continue approach csa six nine one
uwb-atcc_TWR-0jGoka_000110_000284_PI,ruzyne tower victor tango charlie alfa
uwb-atcc_TWR-0jGoka_000478_000834_AT,v tango charlie alfa papa tower good morning stop at holding point
uwb-atcc_TWR-0jGoka_000952_001027_PI,t charlie alfa pa
uwb-atcc_TWR-0MXLA0_000117_000573_AT,nor shuttle one five zero two runway three one cleared to land wind two three zero degrees six knots
uwb-atcc_TWR-0MXLA0_000630_000900_PI,cleared to land three one nor shuttle one five zero zero
uwb-atcc_TWR-0P3ne5_000075_000570_AT,german wings seven papa runway three one cleared to land wind two two zero degrees four knots
uwb-atcc_TWR-0P3ne5_000625_000913_PI,german wings seven papa cleared to land runway three one
uwb-atcc_TWR-0qKeGq_000000_000178_PI,good
uwb-atcc_TWR-0qKeGq_000204_000327_PI,evening air malta five
uwb-atcc_TWR-0qKeGq_000411_000496_PI,holding short
uwb-atcc_TWR-0qKeGq_000570_000848_AT,hello air malta five two nine ruzyne tower roger
uwb-atcc_TWR-0qKeGq_000944_001246_AT,speed bird two zero uniform reduce speed one five zero knots
uwb-atcc_TWR-0qKeGq_001305_001385_PI,roger reduce sp
uwb-atcc_TWR-0rVQ4F_000000_000350_PI,ruzyne tower csa eight zero four we are ready
uwb-atcc_TWR-0rVQ4F_000350_000914_PIAT,csa eight zero four ruzyne tower line up runway one three line up one three csa eight zero four
uwb-atcc_TWR-0yMX97_000124_000378_PI,ruzyne tower csa two zulu alfa ils one
uwb-atcc_TWR-0yMX97_000514_000813_AT,csa two zulu alfa ruzyne tower continue approach
uwb-atcc_TWR-0yMX97_000894_000966_PI,continue
uwb-atcc_TWR-0ZxkoE_000000_000246_AT,easy two delta lima papa lima groun
uwb-atcc_TWR-0ZxkoE_000378_000794_PI,papa lima ground one two one decimal nine csa two delta lima
uwb-atcc_TWR-0ZxkoE_000959_001110_AT,aero flot one four four runway one three clea
uwb-atcc_TWR-0ZxkoE_001161_001352_AT,ind zero nine zero degrees six knots bye
uwb-atcc_TWR-0ZxkoE_001394_001729_PI,takeoff runway one three aero flot one four four have a nice day
uwb-atcc_TWR-0ZxkoE_002318_002710_AT,ruzyne tower csa two mike charlie established ils one
uwb-atcc_TWR-0ZxkoE_002814_002973_AT,easy two mike charlie conti
uwb-atcc_TWR-0ZxkoE_003094_003202_PI,continue approach
uwb-atcc_TWR-1A2Kox_000098_000624_AT,swiss four seven three charlie runway three one cleared for takeoff wind one eight zero degrees four knots good bye
uwb-atcc_TWR-1A2Kox_000680_001181_PIAT,clear takeoff runway three one swiss four seven three charlie
uwb-atcc_TWR-1A2Kox_001511_001725_PI,tower good day speed bird eight five five fully ready
uwb-atcc_TWR-1A2Kox_001868_002179_AT,speed bird eight five five ruzyne tower good afternoon roger
uwb-atcc_TWR-1bYkTi_000000_000451_PI,tower eight five zero zero ils runway three one
uwb-atcc_TWR-1bYkTi_000476_000826_AT,southern air eight five zero zero tower good morning continue approach
uwb-atcc_TWR-1bYkTi_001469_002039_PIAT,lufthansa two hotel tango contact ground one two one nine good bye
uwb-atcc_TWR-1bYkTi_002187_002730_AT,lufthansa seven eight seven runway three one cleared for takeoff wind one six zero degrees three knots good bye
uwb-atcc_TWR-1bYkTi_002730_003073_PI,lufthansa seven eight seven heavy cleared for takeoff runway three bye bye thanks
uwb-atcc_TWR-1Cww5E_000000_000426_AT,csa five one seven contact ruzyne ground one two one decimal nine
uwb-atcc_TWR-1Cww5E_000461_000643_PI,two nine csa seven seven
uwb-atcc_TWR-1Cww5E_000792_001291_AT,turkish one seven six seven runway three one cleared to land wind one six zero degrees four knots
uwb-atcc_TWR-1Cww5E_001319_001653_PI,cleared to land runway three one turkish one seven six seven
uwb-atcc_TWR-1d6lRa_000000_000401_AT,malev eight two zero runway three one clear to land wind one nine zero degrees
uwb-atcc_TWR-1d6lRa_000488_000758_PI,clear to land three one malev eight two zero
uwb-atcc_TWR-1EL4cM_000252_000700_PI,ruzyne tower hello cimber three five two six taxiing for three one fully ready
uwb-atcc_TWR-1EL4cM_000822_001180_AT,hello cimber three five two six ruzyne tower roger line up run
uwb-atcc_TWR-1EL4cM_001396_001638_PI,at three one and wait cimber three five two six
uwb-atcc_TWR-1NNyL3_000066_000573_AT,csa two eight whiskey runway three one cleared for takeoff wind two one zero degrees six knots
uwb-atcc_TWR-1NNyL3_000624_000980_PI,runway three one cleared for takeoff csa two whiskey
uwb-atcc_TWR-1NNyL3_001376_001664_PI,good morning nor shuttle one five one four with you established on the
uwb-atcc_TWR-1NNyL3_001841_002253_AT,nor shuttle one five one four ruzyne tower good afternoon roger
uwb-atcc_TWR-1VLSU9_000081_000648_AT,csa seven eight eight runway one three cleared for takeoff wind zero three zero degrees express arrival three miles
uwb-atcc_TWR-1VLSU9_000673_000783_PI,cleared for takeoff
uwb-atcc_TWR-1VLSU9_000818_000977_PI,runway one three csa seven eight eight
uwb-atcc_TWR-1Wp6vR_000073_000763_PIAT,csa seven three zero runway three one cleared for takeoff wind one eight zero degrees three knots cleared for takeoff three one s
uwb-atcc_TWR-1Wp6vR_000763_000927_PI,csa seven three zero
uwb-atcc_TWR-2BJeKV_000126_000425_AT,csa seven echo charlie line up runway one three
uwb-atcc_TWR-2BJeKV_000474_000706_PI,line up runway one three csa seven echo charlie
uwb-atcc_TWR-2itS52_000059_000288_PI,and ready for departure opera three hundred
uwb-atcc_TWR-2itS52_000726_001464_AT,opera three zero zero roger runway one three line up cleared for takeoff wind three five zero two knots
uwb-atcc_TWR-2itS52_001572_001843_PI,runway one three cleared for takeoff opera jet three hundred
uwb-atcc_TWR-2KXTqd_000171_000793_AT,lufthansa nine juliett charlie traffic information helicopter just landing on heliport
uwb-atcc_TWR-2KXTqd_000793_001385_AT,at the airport it s right of treshold of runway three one will not cross your track
uwb-atcc_TWR-2KXTqd_001464_001744_PI,thank you lufthansa nine two
uwb-atcc_TWR-2KXTqd_001898_002359_AT,lufthansa nine juliett charlie runway three one clear to land wind zero two zero degrees three knots
uwb-atcc_TWR-2KXTqd_002444_002630_AT,lufthansa nine zero eight charlie clear to land runway
uwb-atcc_TWR-2n8DpH_000000_000703_PI,ruzyne tower sky travel six eight two stand three november one zero one eight and ready for clearance
uwb-atcc_TWR-2n8DpH_000767_001183_AT,sky travel six eight two ruzyne delivery startup approve
uwb-atcc_TWR-2n8DpH_001266_001431_AT,time check five two cleared to
uwb-atcc_TWR-2n8DpH_001487_001946_AT,destinations via one departure squawk one four four seven
uwb-atcc_TWR-2n8DpH_002145_002868_PI,runway one three for departure and follow one hotel squawk one four four seven startup approved sky travel six eight two
uwb-atcc_TWR-2Pm1BT_000000_000387_AT,csa three mike zulu contact ruzyne ground one two one decimal nine
uwb-atcc_TWR-2Pm1BT_000424_000719_PI,one two one decimal nine csa three mike zulu
uwb-atcc_TWR-2Pm1BT_000810_001271_AT,malev eight two one runway three one cleared for takeoff wind one six zero degrees five knots good bye
uwb-atcc_TWR-2Pm1BT_001318_001692_PI,clear takeoff runway three one malev eight two one bye bye
uwb-atcc_TWR-2q5DLf_000117_000345_AT,sky travel six six one vacate left
uwb-atcc_TWR-2q5DLf_000366_000473_AT,take
uwb-atcc_TWR-2q5DLf_000517_000638_AT,runway
uwb-atcc_TWR-2q5DLf_000666_000933_AT,ok take taxiway romeo and contact ground one two one point nine
uwb-atcc_TWR-2q5DLf_001006_001201_PI,to the left one two one nine sky travel six
uwb-atcc_TWR-2QDfzA_000142_000913_PIAT,tower csa seven two six holding position runway one three csa seven two six ok ready
uwb-atcc_TWR-2QDfzA_000939_001060_PI,ffirmative ready
uwb-atcc_TWR-2r3zbF_000206_000495_AT,speed bird eight five five line up runway three one and wait
uwb-atcc_TWR-2r3zbF_000563_000840_PI,line up and wait runway three one speed bird eight five five
uwb-atcc_TWR-2vHaI0_000084_000170_PI,sky travel si
uwb-atcc_TWR-2vHaI0_000191_000313_PI,one eight ready for taxi
uwb-atcc_TWR-2vHaI0_000360_000529_AT,sky travel six one eight
uwb-atcc_TWR-2vHaI0_000576_000806_AT,hotel lima hold
uwb-atcc_TWR-2vHaI0_000972_001254_PI,via hotel lima holding two four sky travel
uwb-atcc_TWR-2vHaI0_001289_001364_PI,six one eight
uwb-atcc_TWR-2vs0P5_000000_000476_AT,beair one four zero vacat golf contact ground one two one nine
uwb-atcc_TWR-2vs0P5_000607_000777_PI,golf one two one decimal nine beair one four zer
uwb-atcc_TWR-2yV7BA_000112_000664_PI,eene tower easy six six five established ils at one three at ten miles
uwb-atcc_TWR-2yV7BA_000664_001102_AT,easy three zero six five runway one three cleared to land wind zero six zero seven knots
uwb-atcc_TWR-2yV7BA_001158_001324_PI,one three easy three zero six five
uwb-atcc_TWR-2zLryk_000160_000356_AT,oliver golf alfa line up runway three o
uwb-atcc_TWR-2zLryk_000476_000560_PI,runway three one o
uwb-atcc_TWR-3bXCkx_000000_000191_AT,lufthansa seven echo lima runway three one
uwb-atcc_TWR-3bXCkx_000235_000389_AT,crosswind one zero zero four knots
uwb-atcc_TWR-3bXCkx_000638_000716_PI,way three one to
uwb-atcc_TWR-3G2Ene_000000_000448_PIAT,csa seven eight six line up runway three one line up three one csa seven eight si
uwb-atcc_TWR-3Iqpqh_000000_000472_AT,csa four eight one runway one three cleared to land three five zero degrees three knots
uwb-atcc_TWR-3Iqpqh_000509_000753_PI,csa four eight one runway one three cleared to land
uwb-atcc_TWR-3l7OqS_000000_000492_PIAT,csa four victor papa line up runway three one line up runway three one csa four victor papp
uwb-atcc_TWR-3lJAs7_000204_000794_AT,csa seven tango departing traffic airbus three one nine runway three one cleared for immediate takeoff wind one eight zero
uwb-atcc_TWR-3lJAs7_000869_001223_PIAT,cleared for takeoff csa seven tango
uwb-atcc_TWR-3lJAs7_002147_002328_AT,csa seven tango immediate
uwb-atcc_TWR-3OaTZx_000086_000532_AT,csa nine seven seven contact ruzyne ground one two one decimal nine
uwb-atcc_TWR-3OaTZx_000598_000707_PI,one two one decimal ni
uwb-atcc_TWR-3OaTZx_000739_000814_PI,csa nine sev
uwb-atcc_TWR-3OaTZx_000959_001604_AT,csa five seven three runway three one clear to land wind one nine zero degrees three knots expedite vacating via golf
uwb-atcc_TWR-3OaTZx_001639_002082_PI,runway three one clear to land expediting vacating via golf csa
uwb-atcc_TWR-3PsKV3_000174_000488_AT,sky travel one zero three six line up runway one three
uwb-atcc_TWR-3PsKV3_000555_000632_PI,line up ran
uwb-atcc_TWR-3PsKV3_000671_000840_PI,one three sky travel one zero three si
uwb-atcc_TWR-3PsKV3_001224_001714_AT,lufthansa three romeo kilo vacate to the left and contact ruzyne ground one two one decimal nine
uwb-atcc_TWR-3PsKV3_001812_002041_PI,hansa three romeo kilo left off one two one nine good bye
uwb-atcc_TWR-3q2F9Z_000173_000649_AT,csa five four four runway one three clear to takeoff wind zero two zero degrees four knots
uwb-atcc_TWR-3q2F9Z_000649_001011_PI,cleared for takeoff runway one three csa five four four
uwb-atcc_TWR-3q2F9Z_001011_001541_AT,channex eight seven papa romeo to the left taxiway lima and contact ruzyne ground one two one decimal nine good bye
uwb-atcc_TWR-3q2F9Z_001723_001846_PI,via lima and ground
uwb-atcc_TWR-3stI8i_000056_000547_AT,twin star eight eight seven runway three one clear to land wind one four zero degrees four knots
uwb-atcc_TWR-3stI8i_000606_000779_PI,to land runway three one twin star eight eight
uwb-atcc_TWR-3UfLl3_000276_000738_AT,zulu mike sierra four taxi right via delta contact ground one two one nine good bye
uwb-atcc_TWR-3UfLl3_000802_000919_PI,right via delta one two one ni
uwb-atcc_TWR-3UfLl3_001497_002252_PIAT,austrian seven zero five papa runway three one clear to land wind two zero zero degrees five knots clear to land three one austrian seven zero five papa
uwb-atcc_TWR-3xPZ7m_000213_000927_PIAT,ruzyne tower lufthansa eight echo november is eight miles three one lufthansa eight echo november ruzyne tower roger
uwb-atcc_TWR-3y4Y9G_000158_000644_AT,csa three foxtrot runway three one clear to land wind one five zero degrees four knots
uwb-atcc_TWR-3y4Y9G_000714_000986_PI,runway three one clear to land csa three foxtrot
uwb-atcc_TWR-4AXVhV_000000_000731_PIAT,csa zero five contact ground one two one nine one two one decimal nine csa zero five
uwb-atcc_TWR-4AXVhV_000795_001261_AT,csa four yankee alfa runway three one cleared to land wind one nine zero degrees two knots
uwb-atcc_TWR-4AXVhV_001337_001637_PI,red to land runway three one csa four yankee alfa
uwb-atcc_TWR-4G2Gft_000136_000358_PI,ne tower csa fo
uwb-atcc_TWR-4G2Gft_000513_000750_AT,csa four nine two tower report ready
uwb-atcc_TWR-4G2Gft_000770_000868_PI,we are ready
uwb-atcc_TWR-4IzCX3_000195_000365_AT,quality has asked you to stop
uwb-atcc_TWR-4lLwQY_000140_000498_PI,tower yangtze river seven four six zero switch to departure good day
uwb-atcc_TWR-4lLwQY_000581_000798_AT,good day one two zero five two five bye
uwb-atcc_TWR-4lLwQY_000835_000915_PI,bye bye
uwb-atcc_TWR-4nID1r_000098_000766_PIAT,csa six bravo charlie contact ruzyne ground one two one decimal nine one two one decimal nine six bravo charlie
uwb-atcc_TWR-4nID1r_000826_001602_PIAT,lot five romeo whiskey runway three one cleared for takeoff wind one nine zero degrees four knots bye cleared for takeoff run runway three one
uwb-atcc_TWR-4nID1r_002566_002865_PI,prague malev eight two one runway two two ready
uwb-atcc_TWR-4nID1r_002920_003278_AT,dobry den malev eight two one ruzyne tower roger
uwb-atcc_TWR-4Sap7y_000000_000334_AT,jobair zero five one papa runway three one cleared to land wind calm
uwb-atcc_TWR-4Sap7y_000403_000561_PI,runway three one cleared to land jobair zero
uwb-atcc_TWR-4Sap7y_000781_000947_AT,follow
uwb-atcc_TWR-4vJq1U_000164_000467_PI,tower csa six two two ready any time
uwb-atcc_TWR-4vJq1U_000503_000756_AT,csa six two two ruzyne tower roger
uwb-atcc_TWR-4vJq1U_001512_001926_PIAT,csa eight two eight line up runway three one lining up three one csa eight two eight
uwb-atcc_TWR-4yXgzw_000137_000404_PI,ruzyne tower csa five zero nine visual approach
uwb-atcc_TWR-4yXgzw_000437_000565_PI,way one three
uwb-atcc_TWR-4yXgzw_000638_000873_AT,csa five zero nine proceed to final
uwb-atcc_TWR-4yXgzw_000939_001094_PI,proceed to final csa five zero nine
uwb-atcc_TWR-05bAq3_000525_001008_AT,good afternoon britair nine zero three ruzyne tower runway one three cleared to land wind zero two zero degree
uwb-atcc_TWR-5aYkvA_000169_000832_PIAT,csa eight seven nine contact ruzyne ground one two one nine one two one nine csa eight seven nine
uwb-atcc_TWR-5aYkvA_000903_001344_AT,csa six eight nine runway one three clear to land wind zero one zero degrees seven knots
uwb-atcc_TWR-5aYkvA_001399_001711_PI,clear to land runway one three csa six eight nine
uwb-atcc_TWR-5aYkvA_001889_002379_PI,ruzyne csa eight three five ils one three eight miles out
uwb-atcc_TWR-5aYkvA_002379_002806_AT,csa eight three five continue approach
uwb-atcc_TWR-5aYkvA_002806_003160_PIAT,nazdar miro
uwb-atcc_TWR-5dgEiA_000000_000285_AT,delta two ten contact ground one two one nine bye
uwb-atcc_TWR-5dgEiA_000332_000408_AT,one two one nine good by
uwb-atcc_TWR-5EzQcF_000099_000426_AT,csa seven three two one contact ground one two one nine
uwb-atcc_TWR-5EzQcF_000498_000571_PI,two nine
uwb-atcc_TWR-5EzQcF_001077_001596_AT,lufthansa eight november echo runway three one cleared for takeoff wind one seven zero degrees three knots bye
uwb-atcc_TWR-5EzQcF_001642_001880_PI,lufthansa eight november echo runway three one cleared for
uwb-atcc_TWR-5EzQcF_001911_001984_PI,bye bye
uwb-atcc_TWR-5flVVD_000161_000819_AT,eight romeo golf taxi to stand echo two bravo via golf bravo and zulu
uwb-atcc_TWR-5flVVD_000978_001217_PI,lf bravo zulu stand echo two bravo
uwb-atcc_TWR-5flVVD_001296_001427_PI,good day bye bye
uwb-atcc_TWR-5FzELj_001735_002213_AT,csa seven seven three runway three one cleared to land wind one four zero degrees four knots
uwb-atcc_TWR-5GpRm2_000705_000948_PI,prague tower delta two ten
uwb-atcc_TWR-5GpRm2_000994_001110_PI,three one
uwb-atcc_TWR-5GpRm2_001210_001560_AT,delta two ten good morning tower continue approach runway three one
uwb-atcc_TWR-5GpRm2_001598_001685_PI,ntinue approach
uwb-atcc_TWR-5HTpiM_000000_000551_AT,channex eight eight papa romeo runway one three cleared for takeoff wind zero six zero degrees five knots
uwb-atcc_TWR-5HTpiM_000689_000760_PI,takeoff
uwb-atcc_TWR-5HTpiM_001459_001556_PI,tower
uwb-atcc_TWR-5HTpiM_001592_001859_PI,zero one
uwb-atcc_TWR-5HTpiM_002261_002815_PI,course to heliport three report departure report estimation heading
uwb-atcc_TWR-5HTpiM_002815_003172_PI,two zero zero information romeo one zero
uwb-atcc_TWR-5HTpiM_003232_003303_PI,one nine
uwb-atcc_TWR-5HTpiM_003459_004092_AT,krystof zero one roger there is now departing traffic boeing seven three seven runway one three
uwb-atcc_TWR-5HTpiM_004180_004259_AT,so
uwb-atcc_TWR-5HTpiM_004328_004886_AT,qnh is one zero one eight wind is zero six zero five knots standby
uwb-atcc_TWR-5HTpiM_005211_005616_PI,traffic on runway one three in sight
uwb-atcc_TWR-5HTpiM_005644_005971_PI,qnh one zero one eight and standing
uwb-atcc_TWR-5HTpiM_006055_006171_AT,now
uwb-atcc_TWR-5HTpiM_006205_006705_AT,yes takeoff is approved out of heliport three proceed heading two zero zero
uwb-atcc_TWR-5HTpiM_006855_006933_PI,out of
uwb-atcc_TWR-5HTpiM_006962_007342_PI,departing traffic heading two zero zero
uwb-atcc_TWR-5HTpiM_007430_007597_AT,might wake up
uwb-atcc_TWR-5HTpiM_007622_007770_AT,mike wait what i sa
uwb-atcc_TWR-5HTpiM_008221_008380_AT,caution wake tubulence
uwb-atcc_TWR-5HTpiM_008421_008526_PI,caution wake turubu
uwb-atcc_TWR-5l5z6F_000000_000443_AT,austrian seven one zero papa runway one three cleared for takeoff wind zero five zero degrees five knots
uwb-atcc_TWR-5l5z6F_000631_000861_PI,cleared for takeoff one three austrian seven zero one papa
uwb-atcc_TWR-5l5z6F_000914_001165_PIAT,affirm bye bye
uwb-atcc_TWR-5l5z6F_001311_001995_PI,ruzyne tower three one three holding position runway one three taxiway golf
uwb-atcc_TWR-5l5z6F_001995_002306_AT,three one three ruzyne number two for departure
uwb-atcc_TWR-5Md2dN_000167_000476_PI,ruzyne tower csa eight tango
uwb-atcc_TWR-5Md2dN_000528_001071_AT,csa eight tango ruzyne tower runway three one clear to land wind one seven zero degrees five knots
uwb-atcc_TWR-5Md2dN_001187_001367_PI,three one clear to land csa eight tango
uwb-atcc_TWR-5pkOPJ_000000_000529_PI,one one seven six seven
uwb-atcc_TWR-5pkOPJ_000843_001054_AT,csa six three one report minimum clean speed
uwb-atcc_TWR-5pkOPJ_001888_002044_PI,sky travel one two double zero
uwb-atcc_TWR-5pkOPJ_002279_002571_AT,sky travel one two zero zero ruzyne tower roger
uwb-atcc_TWR-5rgq9J_000151_000577_AT,delta two one zero runway three one clear to land wind two zero zero degrees four knots
uwb-atcc_TWR-5rgq9J_000629_000703_PI,run
uwb-atcc_TWR-5UnxjA_000094_000616_AT,csa four zero six runway one three cleared for takeoff wind one seven zero degrees one knots
uwb-atcc_TWR-5UnxjA_000673_000907_PI,takeoff runway two four csa
uwb-atcc_TWR-5UnxjA_000946_001129_PI,one three csa
uwb-atcc_TWR-5UtWJq_000000_000498_AT,csa five zero five runway three one cleared to land wind two one zero degrees four knots
uwb-atcc_TWR-5UtWJq_000555_000770_PI,cleared to land runway three one csa five
uwb-atcc_TWR-5V2ozw_000000_000383_AT,wizz air four nine one stop at holding point two more landings
uwb-atcc_TWR-5V2ozw_000421_000627_PI,hold the holding point and we
uwb-atcc_TWR-5V2ozw_000651_000748_PI,wizz air four nine one
uwb-atcc_TWR-5vuolQ_000172_000754_PI,tower good mor good afternoon sky travel one zero three nine ten miles ils one thr
uwb-atcc_TWR-5vuolQ_000799_001145_AT,good afternoon sky travel one zero three nine ruzyne tower continue approach
uwb-atcc_TWR-5vuolQ_001221_001438_PI,continue approach sky travel one zero three nine
uwb-atcc_TWR-5WksWE_000000_000225_PI,sky travel six seven zero ready
uwb-atcc_TWR-5WksWE_000530_000771_AT,sky travel six seven zero roger line up
uwb-atcc_TWR-5WksWE_000800_000875_AT,way one three
uwb-atcc_TWR-5WksWE_001010_001263_AT,akeoff wind two three zero degrees
uwb-atcc_TWR-5WksWE_001422_001619_PI,lining up one three clear f
uwb-atcc_TWR-5WksWE_001726_001798_PI,six seven
uwb-atcc_TWR-5xBOGV_000000_000371_PI,ruzyne tower csa nine seven nine establish ils three o
uwb-atcc_TWR-5xBOGV_000537_000610_AT,nine ruzyne tower
uwb-atcc_TWR-5xBOGV_001156_001728_PIAT,wizz air five five six is holding point runway three one fully ready wizz air five five six line up runway three one
uwb-atcc_TWR-5xBOGV_001728_001967_PI,line up runway three one wizz air five five six
uwb-atcc_TWR-5YlIat_000000_000499_AT,speed bird four alfa charlie runway three one clear to land wind one eight zero degrees three knots
uwb-atcc_TWR-5YlIat_000555_000787_PI,clear to land runway three one speed bird four alfa charlie
uwb-atcc_TWR-5zhFXR_000208_000530_AT,lufthansa seven eight seven line up runway three one
uwb-atcc_TWR-5zhFXR_000588_000817_PI,hansa seven eight seven heavy lining up three one
uwb-atcc_TWR-6aSPle_000075_000612_AT,csa four mike bravo runway three one cleared for takeoff wind two zero zero degrees six knots
uwb-atcc_TWR-6aSPle_000612_000880_PI,cleared for takeoff runway three one csa four mike bravo
uwb-atcc_TWR-6B8smm_000124_000784_AT,csa six eight eight runway three one cleared for takeoff wind one seven zero degrees four knots traffic four miles final
uwb-atcc_TWR-6B8smm_000784_001140_PI,runway three one cleared for takeoff csa six eight eight
uwb-atcc_TWR-6B8smm_001140_001496_AT,wizz air five zero zero contact ruzyne ground one two one decimal nin
uwb-atcc_TWR-6B8smm_001598_001729_PI,one two one nine wizz air five one one bye
uwb-atcc_TWR-6B8smm_005046_005534_AT,csa eight mike three runway three one cleared to land wind one seven zero degrees three knots
uwb-atcc_TWR-6B8smm_005564_005803_PI,cleared to land runway three one csa eight five three
uwb-atcc_TWR-6b27FZ_000178_000921_PIAT,csa six two two runway three one cleared for takeoff wind one eight zero degrees five knots takeoff runway three one csa six two two
uwb-atcc_TWR-6f2WYe_000099_000527_AT,csa seven three two runway three one clear to land wind one seven zero degrees two knots
uwb-atcc_TWR-6m7Iaj_000180_000514_PI,csa six eight eight ready
uwb-atcc_TWR-6m7Iaj_000590_000817_AT,csa six eight eight ruzyne tower roger
uwb-atcc_TWR-6MZjsT_000000_000516_AT,speed bird eight five six runway one three clear to land wind zero three zero five kno
uwb-atcc_TWR-6MZjsT_000626_000811_PI,clear to land speed bird eight five six
uwb-atcc_TWR-6o4SrB_000136_000522_PI,tower csa eight mike three established ils three one reducing one sixty
uwb-atcc_TWR-6o4SrB_000566_001296_PIAT,csa eight mike three eight mike three ruzyne tower continue approach departure ahead airbus three two zero continue approach csa eight mike three
uwb-atcc_TWR-6o4SrB_001296_001672_AT,speed bird four alfa charlie contact ruzyne ground one two one decimal nine good bye
uwb-atcc_TWR-6o4SrB_001709_001880_PI,one two one nine speed bird four alfa charlie bye bye
uwb-atcc_TWR-6o4SrB_001934_002426_AT,wizz air five zero zero runway three one clear to land wind two zero zero degrees two knots
